Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
XGBoost,0.93,1.0,0.8813559322033898,0.9369369369369369,0.9776767259198016
Gradient Boosting,0.9,0.9622641509433962,0.864406779661017,0.9107142857142857,0.9731293923108723
Random Forest,0.85,0.94,0.7966101694915254,0.8623853211009175,0.9340636626705251
Decision Tree,0.83,0.9038461538461539,0.7966101694915254,0.8468468468468469,0.8373294749896653
TensorFlow,0.82,0.8727272727272727,0.8135593220338984,0.8421052631578947,0.9011988424968995
Logistic Regression,0.75,0.7833333333333333,0.7966101694915254,0.7899159663865546,0.871021083092187
